pdb_id1,pdb_id2,tm_score,rmsd
5w2b,1fpt,0.19396,0.6276136040687561
6xpr,4toy,0.18517,6.8398871421813965
2exw,4xaw,0.1313,0.4941212236881256
1kb9,6o26,0.24988,0.4733397960662842
7bbj,6xsw,0.25169,0.07773537188768387
3ixy,6btj,0.17179,0.0
7rxj,6dca,0.43084,2.1266844272613525
6ol5,3ifn,0.30575,0.7115104794502258
7mjs,3j5m,0.17781,2.23907470703125
7e72,5esz,0.12505,0.0
6mb3,4j1u,0.12867,0.0362149216234684
4f58,1d5i,0.34866,0.3865908980369568
4i3r,4ong,0.27639,0.5050456523895264
6ug9,6dcv,0.25148,0.06657567620277405
4xpb,2j6e,0.36071,0.7710376381874084
6ban,7kkz,0.23621,0.0
6pze,43ca,0.29851,0.7879781723022461
6mu3,2zck,0.42212,0.7240046262741089
5weq,1rzk,0.18608,1.7329939603805542
7tpj,1fl6,0.27117,0.2940603494644165
6w0a,7s4g,0.58013,0.0005287911626510322
1f8t,7f2s,0.44259,0.2865935266017914
6pwu,6xjq,0.34359,0.47650811076164246
6b0e,1nd0,0.53992,0.2053222507238388
7la4,4x80,0.31847,0.5225921273231506
4x0k,7a6e,0.30158,0.7536471486091614
6mtt,5t80,0.39535,0.6214627623558044
6gc2,4gsd,0.22233,0.6379290223121643
6phh,1om3,0.17593,0.5382816195487976
3fmg,7jhg,0.14259,4.882760047912598
3fo2,6hig,0.53186,0.10742954164743423
6vor,4xc1,0.39376,0.42324450612068176
6ddm,3qo1,0.34253,0.0
7a6e,6n81,0.16364,1.6254633665084839
6p4c,6dl8,0.17055,0.0
5y9c,6o3k,0.16077,4.034557819366455
1um4,6qig,0.20525,0.0
6xqw,5fb8,0.29268,0.5868289470672607
2hfg,6cxc,0.32137,0.255173921585083
4qf1,1k4d,0.37638,0.09409333020448685
3ghe,3ifn,0.32759,1.3164678812026978
1riv,4mhj,0.44801,0.43054690957069397
7e6p,6b0s,0.15366,0.09989641606807709
4qhu,7sfw,0.11878,0.04882233962416649
1vpo,6w0j,0.39024,0.8461666703224182
7rxi,5e94,0.2942,0.1581501066684723
6w4v,12e8,0.2517,0.0393383614718914
2h2p,3rvw,0.21421,0.7225317358970642
5mp3,5ezj,0.27861,0.057941436767578125
6s8i,6wkm,0.28191,0.1192871555685997
5tpl,5mi0,0.16767,0.7022782564163208
6u1n,5ggt,0.22832,1.2754753828048706
3g6a,6jht,0.33386,0.10751712322235107
4mqx,1ngq,0.3223,2.7714345455169678
4k9e,2ih1,0.42295,0.314105749130249
6w4s,3efd,0.37052,0.1873285472393036
6vry,1rih,0.4978,0.7866432070732117
5gzo,1oaz,0.2316,0.5100031495094299
7ctu,7li8,0.16834,0.0
6be4,2r1w,0.18959,1.3184425830841064
6vbp,2c1p,0.56985,0.1483098268508911
5tr8,2h32,0.23997,0.13780999183654785
4ub0,1om3,0.22004,0.1242835745215416
5d96,4z7o,0.34953,0.8912943005561829
1cfv,5tl5,0.33131,0.03606988489627838
1zlv,6vrl,0.34132,0.5556485652923584
5n4g,6yhq,0.14007,0.0
4q5z,6bkb,0.252,1.4084486961364746
4xml,2gfb,0.15188,0.030496777966618538
5myx,6nis,0.2196,0.40844711661338806
6vjn,4odu,0.23858,4.717341899871826
6phh,6nf2,0.19048,13.030771255493164
6e3h,5y9f,0.15217,0.27437010407447815
4pb9,3q3g,0.25526,0.40537211298942566
2xza,4yhi,0.34058,0.0053685251623392105
